time,pnl,equity
2023/7/8 7:20,-32.9079106,27021.40279
2023/7/8 7:25,-37.22350422,27017.0872
2023/7/8 7:30,-23.97502147,27030.33568
2023/7/8 7:35,-23.14398984,27031.16671
2023/7/8 7:40,-15.71401763,27038.59668
2023/7/8 7:45,-20.84662474,27033.46408
2023/7/8 7:50,-20.84662474,27033.46408
2023/7/8 7:55,-9.7037951,27044.60691
2023/7/8 8:00,-10.51737617,27043.79333
2023/7/8 8:05,-12.01657483,27042.29413
2023/7/8 8:10,-13.97113946,27040.33956
2023/7/8 8:15,-11.74704765,27042.56365
2023/7/8 8:20,-57.45946037,26996.85124
2023/7/8 8:25,-57.45946037,26996.85124
2023/7/8 8:30,-61.33496191,26992.97574
2023/7/8 8:35,-56.95973076,26997.35097
2023/7/8 8:40,-57.72577911,26996.58492
2023/7/8 8:45,-50.39745584,27003.91325
2023/7/8 8:50,-46.07939832,27008.2313
2023/7/8 8:55,-35.45100507,27018.8597
2023/7/8 9:00,2.04028975,27131.3
2023/7/8 9:05,2.04028975,27131.3
2023/7/8 9:10,1.97158794,27131.2313
2023/7/8 9:15,4.6299054,27133.88962
2023/7/8 9:20,2.43515227,27131.69486
2023/7/8 9:25,2.43515227,27131.69486
2023/7/8 9:30,4.96892128,27134.22863
2023/7/8 9:35,-2.07271189,27127.187
2023/7/8 9:40,-2.58691666,27126.67279
2023/7/8 9:45,-3.27236173,27125.98735
2023/7/8 9:50,0.50935208,27129.76906
2023/7/8 9:55,0.63288933,27129.8926
2023/7/8 10:00,2.62179202,27131.8815
2023/7/8 10:05,2.81317236,27132.07288
2023/7/8 10:10,5.17285645,27134.43257
2023/7/8 10:15,4.86731703,27134.12703
2023/7/8 10:20,4.86731703,27134.12703
2023/7/8 10:25,0.88030086,27130.14001
2023/7/8 10:30,0.26825696,27129.52797
2023/7/8 10:35,-1.55824947,27127.70146
2023/7/8 10:40,1.48890583,27130.74862
2023/7/8 10:45,1.30446465,27130.56417
2023/7/8 10:50,-1.89290717,27127.3668
2023/7/8 10:55,0.29320015,27129.55291
2023/7/8 11:00,0.29320015,27129.55291
2023/7/8 11:05,1.9515382,27131.21125
2023/7/8 11:10,1.92508039,27131.18479
2023/7/8 11:15,-0.53987346,27128.71984
2023/7/8 11:20,-0.35883743,27128.90087
2023/7/8 11:25,-13.0079706,27116.25174
2023/7/8 11:30,-15.28193254,27113.97778
2023/7/8 11:35,15.44557902,27144.70529
2023/7/8 11:40,2.71274634,27131.97246
2023/7/8 11:45,7.95026292,27137.20997
2023/7/8 11:50,13.25962586,27142.51934
2023/7/8 11:55,15.00388519,27144.2636
2023/7/8 12:00,15.00388519,27144.2636
2023/7/8 12:05,9.17702057,27138.43673
2023/7/8 12:10,8.01809334,27137.2778
2023/7/8 12:15,-4.26823198,27124.99148
2023/7/8 12:20,11.71247007,27140.97218
2023/7/8 12:25,19.17439284,27148.4341
2023/7/8 12:30,19.17439284,27148.4341
2023/7/8 12:35,18.54496751,27147.80468
2023/7/8 12:40,12.82492861,27142.08464
2023/7/8 12:45,12.82492861,27142.08464
2023/7/8 12:50,11.35595701,27140.61567
2023/7/8 12:55,6.46954119,27135.72925
2023/7/8 13:00,6.84021862,27136.09993
2023/7/8 13:05,6.84021862,27136.09993
2023/7/8 13:10,21.82023302,27151.07994
2023/7/8 13:15,26.03694485,27155.29666
2023/7/8 13:20,32.20857563,27161.46829
2023/7/8 13:25,34.59730015,27163.85701
2023/7/8 13:30,35.61411418,27164.87382
2023/7/8 13:35,31.43285763,27160.69257
2023/7/8 13:40,34.0488379,27163.30855
2023/7/8 13:45,33.83731192,27163.09702
2023/7/8 13:50,32.78426446,27162.04397
2023/7/8 13:55,32.76801355,27162.02772
2023/7/8 14:00,28.57287323,27157.83258
2023/7/8 14:05,14.78567827,27144.04539
2023/7/8 14:10,14.78567827,27144.04539
