time,
2023/6/2 22:00,13045.76619
2023/6/2 22:05,13045.76619
2023/6/2 22:10,13045.57451
2023/6/2 22:15,13045.57451
2023/6/2 22:20,13046.20603
2023/6/2 22:25,13045.12544
2023/6/2 22:30,13046.52604
2023/6/2 22:35,13048.51941
2023/6/2 22:40,13043.50953
2023/6/2 22:45,13048.87452
2023/6/2 22:50,13049.31724
2023/6/2 22:55,13049.31724
2023/6/2 23:00,13046.57309
2023/6/2 23:05,13045.81964
2023/6/2 23:10,13046.08447
2023/6/2 23:15,13043.37144
2023/6/2 23:20,13045.21215
2023/6/2 23:25,13048.74834
2023/6/2 23:30,13046.39489
2023/6/2 23:35,13048.40574
2023/6/2 23:40,13047.58952
2023/6/2 23:45,13048.4637
2023/6/2 23:50,13049.14816
2023/6/2 23:55,13049.50494
2023/6/3 0:30,13049.50494
2023/6/3 0:35,13049.59494
2023/6/3 0:40,13048.5884
2023/6/3 0:45,13048.9915
2023/6/3 0:50,13048.9915
2023/6/3 0:55,13048.08151
2023/6/3 1:00,13047.87177
2023/6/3 1:05,13048.10718
2023/6/3 1:10,13049.30723
2023/6/3 1:15,13049.6022
2023/6/3 1:20,13049.6022
2023/6/3 1:25,13050.75947
2023/6/3 1:30,13050.75947
2023/6/3 1:35,13051.31967
2023/6/3 1:40,13051.31967
2023/6/3 1:45,13048.24512
2023/6/3 1:50,13054.48968
2023/6/3 1:55,13054.48968
2023/6/3 2:00,13055.0399
2023/6/3 2:05,13055.80047
2023/6/3 2:10,13055.41551
2023/6/3 2:15,13055.17264
2023/6/3 2:20,13055.54121
2023/6/3 2:25,13054.94352
2023/6/3 2:30,13055.24739
2023/6/3 2:35,13054.60578
2023/6/3 2:40,13054.62418
2023/6/3 2:45,13052.62406
2023/6/3 2:50,13052.77767
2023/6/3 2:55,13052.91355
2023/6/3 3:00,13052.5263
2023/6/3 3:05,13054.49923
2023/6/3 3:10,13054.15648
2023/6/3 3:15,13054.15648
2023/6/3 3:20,13054.3631
2023/6/3 3:25,13054.79749
2023/6/3 3:30,13054.79749
2023/6/3 3:35,13054.60023
2023/6/3 3:40,13054.77241
2023/6/3 3:45,13054.6629
2023/6/3 3:50,13054.6629
2023/6/3 3:55,13054.53121
2023/6/3 4:00,13056.18363
2023/6/3 4:05,13056.18363
2023/6/3 4:10,13054.39758
2023/6/3 4:15,13054.89007
2023/6/3 4:20,13056.01491
2023/6/3 4:25,13055.38347
2023/6/3 4:30,13054.30136
2023/6/3 4:35,13053.1496
2023/6/3 4:40,13052.28364
2023/6/3 4:45,13052.28364
2023/6/3 4:50,13052.58947
2023/6/3 4:55,13052.33065
2023/6/3 5:00,13048.05513
2023/6/3 5:05,13048.05513
2023/6/3 5:10,13050.67179
2023/6/3 5:15,13051.23196
2023/6/3 5:20,13050.50535
2023/6/3 5:25,13050.50535
2023/6/3 5:30,13052.27804
2023/6/3 5:35,13052.27804
2023/6/3 5:40,13053.2772
2023/6/3 5:45,13053.07729
2023/6/3 5:50,13054.3614
2023/6/3 5:55,13052.42537
2023/6/3 6:00,13050.66292
2023/6/3 6:05,13050.66292
2023/6/3 6:10,13048.64626
2023/6/3 6:15,13046.61157
2023/6/3 6:20,13046.61157
2023/6/3 6:25,13046.61157
2023/6/3 6:30,13043.4457
2023/6/3 6:35,13043.4457
2023/6/3 6:40,13047.73929
2023/6/3 6:45,13048.44291
2023/6/3 6:50,13048.44291
2023/6/3 6:55,13050.2421
2023/6/3 7:00,13049.91975
2023/6/3 7:05,13049.91975
2023/6/3 7:10,13049.06228
2023/6/3 7:15,13048.73278
2023/6/3 7:20,13048.22636
2023/6/3 7:25,13048.22636
2023/6/3 7:30,13049.49911
2023/6/3 7:35,13049.49911
2023/6/3 7:40,13046.55832
2023/6/3 7:45,13052.12736
2023/6/3 7:50,13053.77744
2023/6/3 7:55,13053.83704
2023/6/3 8:00,13052.20008
2023/6/3 8:05,13052.20008
2023/6/3 8:10,13050.58187
2023/6/3 8:15,13051.10994
2023/6/3 8:20,13051.10994
2023/6/3 8:25,13051.84175
2023/6/3 8:30,13051.77783
2023/6/3 8:35,13051.84124
2023/6/3 8:40,13052.7422
2023/6/3 8:45,13053.07256
2023/6/3 8:50,13052.32062
2023/6/3 8:55,13052.53825
2023/6/3 9:00,13052.53825
2023/6/3 9:05,13052.82694
2023/6/3 9:10,13052.76576
2023/6/3 9:15,13052.76576
2023/6/3 9:20,13051.6289
2023/6/3 9:25,13052.11964
2023/6/3 9:30,13050.95951
2023/6/3 9:35,13050.61842
2023/6/3 9:40,13050.61842
2023/6/3 9:45,13051.76152
2023/6/3 9:50,13050.50019
2023/6/3 9:55,13050.62559
2023/6/3 10:00,13055.20864
2023/6/3 10:05,13055.93226
2023/6/3 10:10,13054.92261
2023/6/3 10:15,13054.92261
2023/6/3 10:20,13054.92261
2023/6/3 10:25,13054.15585
2023/6/3 10:30,13054.15585
2023/6/3 10:35,13061.3988
2023/6/3 10:40,13062.20231
2023/6/3 10:45,13062.20231
2023/6/3 10:50,13063.39076
2023/6/3 10:55,13063.39076
2023/6/3 11:00,13063.39076
2023/6/3 11:05,13062.43413
2023/6/3 11:10,13062.27102
2023/6/3 11:15,13061.41769
2023/6/3 11:20,13061.41769
2023/6/3 11:25,13062.72283
2023/6/3 11:30,13061.46868
2023/6/3 11:35,13066.52553
2023/6/3 11:40,13058.97423
2023/6/3 11:45,13061.33717
2023/6/3 11:50,13060.81519
2023/6/3 11:55,13061.81347
2023/6/3 12:00,13061.16817
2023/6/3 12:05,13062.46971
2023/6/3 12:10,13062.55239
2023/6/3 12:15,13062.3287
2023/6/3 12:20,13064.06891
2023/6/3 12:25,13064.5358
2023/6/3 12:30,13064.5358
2023/6/3 12:35,13064.5358
2023/6/3 12:40,13064.5358
2023/6/3 12:45,13061.34709
2023/6/3 12:50,13060.94318
2023/6/3 12:55,13060.54835
2023/6/3 13:00,13060.81957
2023/6/3 13:05,13061.30561
2023/6/3 13:10,13061.30561
2023/6/3 13:15,13061.379
2023/6/3 13:20,13059.24333
2023/6/3 13:25,13058.74313
2023/6/3 13:30,13058.85908
2023/6/3 13:35,13060.60319
2023/6/3 13:40,13060.74546
2023/6/3 13:45,13057.41109
2023/6/3 13:50,13059.82634
2023/6/3 13:55,13060.03284
2023/6/3 14:00,13059.97528
2023/6/3 14:05,13060.037
2023/6/3 14:10,13061.01102
2023/6/3 14:15,13060.848
2023/6/3 14:20,13060.75619
2023/6/3 14:25,13060.75619
2023/6/3 14:30,13060.33164
2023/6/3 14:35,13060.02648
2023/6/3 14:40,13060.02648
2023/6/3 14:45,13060.22963
2023/6/3 14:50,13061.36765
2023/6/3 14:55,13061.36765
2023/6/3 15:00,13058.3191
2023/6/3 15:05,13058.73024
2023/6/3 15:10,13058.25653
2023/6/3 15:15,13036.01572
2023/6/3 15:20,13036.01572
2023/6/3 15:25,13078.97221
2023/6/3 15:30,13075.56716
2023/6/3 15:35,13075.56716
2023/6/3 15:40,13074.83104
2023/6/3 15:45,13074.81011
2023/6/3 15:50,13071.90877
2023/6/3 15:55,13071.90877
2023/6/3 16:00,13078.54084
2023/6/3 16:05,13077.65588
2023/6/3 16:10,13076.89682
2023/6/3 16:15,13076.89682
2023/6/3 16:20,13076.55344
2023/6/3 16:25,13076.7357
2023/6/3 16:30,13077.28784
2023/6/3 16:35,13077.29214
2023/6/3 16:40,13077.81748
2023/6/3 16:45,13079.00129
2023/6/3 16:50,13074.31179
2023/6/3 16:55,13074.52281
2023/6/3 17:00,13072.16783
2023/6/3 17:05,13072.07156
2023/6/3 17:10,13066.57946
2023/6/3 17:15,13069.6274
2023/6/3 17:20,13069.6274
2023/6/3 17:25,13065.27464
2023/6/3 17:30,13064.34981
2023/6/3 17:35,13057.74551
2023/6/3 17:40,13057.74551
2023/6/3 17:45,13058.58314
2023/6/3 17:50,13057.4173
2023/6/3 17:55,13058.81659
2023/6/3 18:00,13058.43712
2023/6/3 18:05,13059.67103
2023/6/3 18:10,13059.89234
2023/6/3 18:15,13058.16094
2023/6/3 18:20,13059.2301
2023/6/3 18:25,13058.97662
2023/6/3 18:30,13058.85629
2023/6/3 18:35,13059.21215
2023/6/3 18:40,13059.21215
2023/6/3 18:45,13059.20424
2023/6/3 18:50,13059.39657
2023/6/3 18:55,13060.4128
2023/6/3 19:00,13059.54985
2023/6/3 19:05,13059.54985
2023/6/3 19:10,13059.47713
